id,question,option1,correct1,option2,correct2,option3,correct3,option4,correct4,subject
137,What are the attributes used for controlling video playback in HTML5?,"controls', 'autoplay', 'loop'",TRUE,"play', 'stop', 'repeat'",FALSE,"forward', 'backward', 'pause'",FALSE,"start', 'end', 'hold'",FALSE,html
138,How can you ensure that your videos are accessible to users with disabilities?,"Use subtitles, captions, and audio descriptions",TRUE,Increase the volume,FALSE,Use high contrast colors,FALSE,Make videos shorter,FALSE,html
139,Explain the purpose of the <canvas> element in HTML5.,Used for drawing graphics via scripting,TRUE,For embedding videos,FALSE,Creating clickable buttons,FALSE,For adding background images,FALSE,html
140,What is the purpose of the <meta> tag with the charset attribute?,Specifies the character encoding of the HTML document,TRUE,Defines the document's title,FALSE,Controls the viewport settings,FALSE,Sets the default language,FALSE,html
141,How do you set the character encoding for an HTML document?,Using the <meta charset='UTF-8'> tag,TRUE,With the <encoding> tag,FALSE,In the CSS file,FALSE,Via JavaScript,FALSE,html
142,What is the viewport meta tag used for in HTML?,Controls how a webpage is displayed on mobile devices,TRUE,Sets the initial zoom level,FALSE,Defines the page layout,FALSE,Specifies background color,FALSE,html
143,Describe the Geolocation API in HTML5.,Allows a web page to access the user's geographical location,TRUE,Provides weather information,FALSE,Tracks user movement on the page,FALSE,Shows a map of the user's country,FALSE,html
144,"What is the Web Storage API, and how is it different from cookies?","Allows data storage across browser sessions, more secure and larger storage than cookies",TRUE,"Same as cookies, but faster",FALSE,"Only stores session data, unlike cookies",FALSE,Used for client-side database storage,FALSE,html
145,Explain the purpose of the Fetch API in HTML5.,Used for making network requests to fetch resources,TRUE,Loads images faster,FALSE,Updates HTML content dynamically,FALSE,A faster version of the XMLHttpRequest API,FALSE,html
146,What is the purpose of the Web Workers API?,Allows running scripts in the background without affecting page performance,TRUE,Improves graphics rendering,FALSE,Manages multiple user sessions,FALSE,Enhances security of web pages,FALSE,html
147,How can you perform client-side form validation in HTML?,"Using HTML5 form attributes like 'required', 'min', 'max'",TRUE,Only with JavaScript,FALSE,By setting the 'validate' attribute on the form,FALSE,Using CSS,FALSE,html
148,Explain the use of the pattern attribute in form inputs.,Specifies a regular expression that the input's value must match,TRUE,Sets a pattern for styling the input,FALSE,Controls the layout of the form,FALSE,Animates the input when interacted with,FALSE,html
149,Describe the constraint validation API in HTML5.,Provides a way to validate the value of form elements before submission,TRUE,Applies visual constraints on form elements,FALSE,Restricts the type of data entered in the database,FALSE,Automatically fills form fields,FALSE,html
150,What is the purpose of the <datalist> element in HTML forms?,Provides an autocomplete feature for form inputs,TRUE,Creates a drop-down list of options,FALSE,Stores data temporarily on the client-side,FALSE,Formats and styles form elements,FALSE,html
151,"Why is web accessibility important, and how can you improve it in HTML?","Ensures website usability for all, improved with semantic elements and alt attributes",TRUE,Only for enhancing visual appeal,FALSE,Increases website speed,FALSE,Used for search engine optimization,FALSE,html
152,"What is ARIA, and how can it be used to enhance accessibility?","Accessible Rich Internet Applications, used to make web content more accessible",TRUE,A programming language for web development,FALSE,A tool for responsive design,FALSE,A JavaScript library,FALSE,html
153,Explain the purpose of alt text for images and when to use it.,"Provides a textual alternative for images, used for accessibility and when images cannot be displayed",TRUE,Decorates images,FALSE,Displays when the image is loading,FALSE,For image captions only,FALSE,html
154,What are the best practices for writing clean and maintainable HTML code?,"Use semantic elements, keep code well-organized, and comment where necessary",TRUE,Focus solely on visual layout,FALSE,Use as many different styles as possible,FALSE,Write everything in one line for performance,FALSE,html
155,How can you optimize the performance of a web page through HTML?,"Minimize the use of heavy elements, optimize images, and use efficient coding practices",TRUE,Use more inline CSS,FALSE,Add more multimedia content,FALSE,Frequent use of animations,FALSE,html
156,Describe the use of semantic HTML elements in improving SEO.,"Semantic elements help search engines understand the content and structure, improving SEO",TRUE,No impact on SEO,FALSE,"Semantic elements slow down the site, negatively affecting SEO",FALSE,"Only useful for website design, not SEO",FALSE,html
157,List some HTML elements that have been deprecated in HTML5.,"<font>, <center>, <frame>",TRUE,"<div>, <span>, <a>",FALSE,"<header>, <footer>, <section>",FALSE,"<p>, <h1>, <img>",FALSE,html
158,What should you use instead of deprecated HTML elements?,"Use CSS for styling, and semantic HTML for structure",TRUE,Continue using deprecated elements,FALSE,Replace with JavaScript functions,FALSE,Use only inline styles,FALSE,html
159,Explain the concept of HTML entities and give an example.,"Special characters in HTML, like &amp; for &",TRUE,Tags for creating new elements,FALSE,A way to insert JavaScript code,FALSE,Method for linking external files,FALSE,html
160,How can you embed SVG (Scalable Vector Graphics) in an HTML document?,Using the <svg> element or <img> tag with an SVG file,TRUE,Through CSS only,FALSE,With the <vector> tag,FALSE,Using the <canvas> element,FALSE,html
161,Describe the difference between inline and block-level elements in HTML.,"Inline elements don't start on a new line, block-level elements do",TRUE,"No difference, both are the same",FALSE,"Inline elements are for graphics, block-level for text",FALSE,Inline elements are faster to load,FALSE,html
162,What is the purpose of the <details> and <summary> elements in HTML5?,"<details> creates a disclosure widget, <summary> provides a visible heading",TRUE,"<details> for main content, <summary> for side content",FALSE,Both for creating tables,FALSE,"<details> for forms, <summary> for buttons",FALSE,html
163,"How do you create custom HTML data attributes, and why are they useful?","Prefixing the attribute with 'data-', useful for storing extra information",TRUE,Using the 'custom' attribute,FALSE,Through CSS,FALSE,By using JavaScript only,FALSE,html
164,Explain the differences between the 'GET' and 'POST' methods in HTML forms.,"GET' appends data to URL, 'POST' sends data as HTTP message body",TRUE,"No difference, both send data to the server",FALSE,"GET' is secure, 'POST' is not",FALSE,"GET' for sending data, 'POST' for receiving data",FALSE,html
165,What is the purpose of the Content Security Policy (CSP) in HTML?,Helps prevent cross-site scripting and other attacks,TRUE,Optimizes page loading speed,FALSE,Ensures compatibility with older browsers,FALSE,Automatically adjusts content size,FALSE,html
166,How can you include JavaScript code within an HTML document?,Using the <script> tag,TRUE,With the <javascript> tag,FALSE,By linking a JavaScript file in CSS,FALSE,Using the <js> element,FALSE,html
167,Describe the purpose of the <iframe> element in HTML.,Embeds another HTML page within the current page,TRUE,For creating image frames,FALSE,Enhances website security,FALSE,Used for styling content,FALSE,html
168,What are some common challenges when it comes to cross-browser compatibility in HTML?,"Differences in how browsers interpret HTML/CSS, requiring testing and adjustments",TRUE,All browsers render HTML/CSS the same,FALSE,Only relevant for mobile browsers,FALSE,Solved entirely by HTML5,FALSE,html
169,How can you handle Internet Explorer-specific issues in HTML and CSS?,Using conditional comments and IE-specific CSS properties or JavaScript,TRUE,Internet Explorer has no specific issues,FALSE,Avoiding HTML and CSS completely,FALSE,By only using inline styles,FALSE,html
170,"What is responsive web design, and how can you achieve it in HTML and CSS?","Design that adapts to different screen sizes, achieved with media queries and fluid grids",TRUE,Fixed layout design for all devices,FALSE,"Using only HTML, without CSS",FALSE,Responsive design is automatically handled by the browser,FALSE,html
171,Explain the purpose of media queries in responsive web design.,Used to apply different styles for different screen sizes and devices,TRUE,Only for changing fonts,FALSE,For creating animations,FALSE,To improve website security,FALSE,html
172,How do you create a mobile-first responsive web design?,"Design for small screens first, then use media queries to adjust for larger screens",TRUE,"Start with desktop design, then reduce for mobile",FALSE,Design separately for each device,FALSE,Use fixed sizes for all elements,FALSE,html
173,"How can version control systems (e.g., Git) be used for HTML projects?","Track changes, collaborate, and manage different versions of the project",TRUE,Only for backup purposes,FALSE,Version control is not used in HTML projects,FALSE,For automating HTML code writing,FALSE,html
174,What are the benefits of using collaborative tools like GitHub for HTML development?,"Facilitates collaboration, version control, and code sharing",TRUE,Only for storing code online,FALSE,GitHub does not offer any benefits for HTML development,FALSE,For automatic code generation,FALSE,html
175,Describe some common security vulnerabilities in HTML applications.,"Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF), SQL Injection",TRUE,HTML applications are secure by default,FALSE,Only phishing attacks,FALSE,Vulnerabilities related to hardware,FALSE,html
176,How can you prevent Cross-Site Scripting (XSS) attacks in HTML?,"Sanitize user input, use Content Security Policy (CSP)",TRUE,XSS attacks cannot be prevented,FALSE,By using HTTPS,FALSE,Only through server-side measures,FALSE,html
177,"What is Content Security Policy (CSP), and how does it enhance security?","A policy that helps to detect and mitigate certain types of attacks, like XSS and data injection",TRUE,Optimizes website performance,FALSE,For responsive design,FALSE,Controls user access to website content,FALSE,html
178,How can you optimize the loading speed of an HTML web page?,"Minimize file sizes, optimize images, use async/defer for scripts",TRUE,Use more animations and high-quality images,FALSE,By increasing the number of HTTP requests,FALSE,Loading all scripts in the <head>,FALSE,html
179,Explain the purpose of browser caching in HTML.,Stores webpage resources locally to reduce loading times on subsequent visits,TRUE,To track user activity,FALSE,Only for saving user data,FALSE,Increases server load,FALSE,html
180,"What is lazy loading, and how can it be implemented in HTML?","Loading content as needed (e.g., when scrolling), implemented using attributes like 'loading=lazy'",TRUE,Loading all content immediately,FALSE,Only applicable for JavaScript,FALSE,By making server requests for each item,FALSE,html
181,How can you optimize an HTML page for search engines (SEO)?,"Use semantic HTML, meta tags, and optimize content for keywords",TRUE,Frequent use of images and videos,FALSE,Ignore meta tags,FALSE,Use only inline CSS,FALSE,html
182,Explain the importance of meta tags in SEO.,Meta tags provide information about the webpage to search engines,TRUE,No impact on SEO,FALSE,Only for styling webpages,FALSE,Meta tags are for scripting,FALSE,html
183,What is the purpose of the robots.txt file in HTML SEO?,Instructs web crawlers which pages to crawl or ignore,TRUE,Enhances webpage security,FALSE,For redirecting users to different pages,FALSE,Improves page loading speed,FALSE,html
184,Describe some common accessibility challenges and how to address them in HTML.,"Lack of alt text, poor contrast, non-semantic HTML; use alt attributes, sufficient contrast, semantic HTML",TRUE,Accessibility is automatically handled by browsers,FALSE,Only use <div> and <span>,FALSE,Accessibility is not a concern in HTML,FALSE,html
185,"How do you create custom HTML data attributes, and why are they useful?","Prefixing the attribute with 'data-', useful for storing extra information",TRUE,Using the 'custom' attribute,FALSE,Through CSS,FALSE,By using JavaScript only,FALSE,html
186,Explain the differences between the 'GET' and 'POST' methods in HTML forms.,"GET' appends data to URL, 'POST' sends data as HTTP message body",TRUE,"No difference, both send data to the server",FALSE,"GET' is secure, 'POST' is not",FALSE,"GET' for sending data, 'POST' for receiving data",FALSE,html
187,What is the purpose of the Content Security Policy (CSP) in HTML?,Helps prevent cross-site scripting and other attacks,TRUE,Optimizes page loading speed,FALSE,Ensures compatibility with older browsers,FALSE,Automatically adjusts content size,FALSE,html
188,How can you include JavaScript code within an HTML document?,Using the <script> tag,TRUE,With the <javascript> tag,FALSE,By linking a JavaScript file in CSS,FALSE,Using the <js> element,FALSE,html
189,Describe the purpose of the <iframe> element in HTML.,Embeds another HTML page within the current page,TRUE,For creating image frames,FALSE,Enhances website security,FALSE,Used for styling content,FALSE,html
190,What are some common challenges when it comes to cross-browser compatibility in HTML?,"Differences in how browsers interpret HTML/CSS, requiring testing and adjustments",TRUE,All browsers render HTML/CSS the same,FALSE,Only relevant for mobile browsers,FALSE,Solved entirely by HTML5,FALSE,html
191,How can you handle Internet Explorer-specific issues in HTML and CSS?,Using conditional comments and IE-specific CSS properties or JavaScript,TRUE,Internet Explorer has no specific issues,FALSE,Avoiding HTML and CSS completely,FALSE,By only using inline styles,FALSE,html
192,"What is responsive web design, and how can you achieve it in HTML and CSS?","Design that adapts to different screen sizes, achieved with media queries and fluid grids",TRUE,Fixed layout design for all devices,FALSE,"Using only HTML, without CSS",FALSE,Responsive design is automatically handled by the browser,FALSE,html
193,Explain the purpose of media queries in responsive web design.,Used to apply different styles for different screen sizes and devices,TRUE,Only for changing fonts,FALSE,For creating animations,FALSE,To improve website security,FALSE,html
194,How do you create a mobile-first responsive web design?,"Design for small screens first, then use media queries to adjust for larger screens",TRUE,"Start with desktop design, then reduce for mobile",FALSE,Design separately for each device,FALSE,Use fixed sizes for all elements,FALSE,html
195,"How can version control systems (e.g., Git) be used for HTML projects?","Track changes, collaborate, and manage different versions of the project",TRUE,Only for backup purposes,FALSE,Version control is not used in HTML projects,FALSE,For automating HTML code writing,FALSE,html
196,What are the benefits of using collaborative tools like GitHub for HTML development?,"Facilitates collaboration, version control, and code sharing",TRUE,Only for storing code online,FALSE,GitHub does not offer any benefits for HTML development,FALSE,For automatic code generation,FALSE,html
197,Describe some common security vulnerabilities in HTML applications.,"Cross-Site Scripting (XSS), Cross-Site Request Forgery (CSRF), SQL Injection",TRUE,HTML applications are secure by default,FALSE,Only phishing attacks,FALSE,Vulnerabilities related to hardware,FALSE,html
198,How can you prevent Cross-Site Scripting (XSS) attacks in HTML?,"Sanitize user input, use Content Security Policy (CSP)",TRUE,XSS attacks cannot be prevented,FALSE,By using HTTPS,FALSE,Only through server-side measures,FALSE,html
199,"What is Content Security Policy (CSP), and how does it enhance security?","A policy that helps to detect and mitigate certain types of attacks, like XSS and data injection",TRUE,Optimizes website performance,FALSE,For responsive design,FALSE,Controls user access to website content,FALSE,html
200,How can you optimize the loading speed of an HTML web page?,"Minimize file sizes, optimize images, use async/defer for scripts",TRUE,Use more animations and high-quality images,FALSE,By increasing the number of HTTP requests,FALSE,Loading all scripts in the <head>,FALSE,html
201,What does CSS stand for?,Cascading Style Sheets,TRUE,Creative Style Sheets,FALSE,Colorful Style Sheets,FALSE,Computer Style Sheets,FALSE,css
202,How do you include CSS in an HTML document?,<style> tag,FALSE,Using the link element,TRUE,<css> tag,FALSE,Using the script tag,FALSE,css
203,"Explain the difference between inline, internal, and external CSS.","Inline is in the HTML element, internal is in the <head>, external is linked via file",TRUE,There is no difference,FALSE,Inline is faster,FALSE,External can be in the <body>,FALSE,css
204,What is a CSS selector?,Identifies HTML elements,TRUE,Is a JavaScript function,FALSE,Defines a font style,FALSE,None of the above,FALSE,css
205,How do you select an element by its ID in CSS?,Identifies HTML elements,TRUE,Is a JavaScript function,FALSE,Defines a font style,FALSE,None of the above,FALSE,css
206,What is the universal selector in CSS?,Using the . notation,FALSE,Using the # notation,TRUE,Using the : notation,FALSE,Using the ? notation,FALSE,css
207,Explain the box model in CSS.,Describes how elements are framed,TRUE,Sets the color scheme,FALSE,Aligns text within an element,FALSE,Controls the element's opacity,FALSE,css
208,How do you center an element horizontally in CSS?,Use margin: auto;,TRUE,Set text-align: center;,FALSE,Apply float: center;,FALSE,Use align-items: center;,FALSE,css
209,"What is the purpose of the CSS ""float"" property?",To remove elements from the normal flow,FALSE,To wrap text around elements,TRUE,To increase element size,FALSE,To add scroll functionality,FALSE,css
210,"Describe the difference between ""display: none"" and ""visibility: hidden.""","display: none' removes the element, while 'visibility: hidden' keeps the space",TRUE,No difference,FALSE,"visibility: hidden' removes the element, 'display: none' keeps the space",FALSE,Both remove the element and its space,FALSE,css
211,How can you override a CSS rule specificity?,Using !important,TRUE,Adding more classes,FALSE,Using inline styles,FALSE,By including CSS at the bottom,FALSE,css
212,What is the difference between margin and padding in CSS?,"Margin is outside, padding is inside",TRUE,No difference,FALSE,"Padding is outside, margin is inside",FALSE,"Margin is for width, padding is for height",FALSE,css
213,Explain the concept of CSS pseudo-classes.,Special states of elements,TRUE,Classes added by JavaScript,FALSE,Inherited styles,FALSE,Default styles for elements,FALSE,css
214,How do you apply CSS styles to links that have been visited?,Using :visited pseudo-class,TRUE,With .visited class,FALSE,Applying inline styles,FALSE,Using :link pseudo-class,FALSE,css
215,"What is the purpose of the ""clear"" property in CSS?",Prevents elements from overlapping,FALSE,Controls the flow of floated elements,TRUE,Clears background color,FALSE,Removes an element from the document,FALSE,css
216,"Describe the CSS ""position"" property values.",Controls the positioning of elements,TRUE,Defines how content is justified,FALSE,Sets the transparency level,FALSE,Determines the element's display type,FALSE,css
217,"What is the purpose of the ""z-index"" property in CSS?",Determines stacking order of elements,TRUE,Controls the zoom level,FALSE,Sets the background color,FALSE,Defines the element's flex behavior,FALSE,css
218,How do you create a CSS animation?,Using @keyframes and the animation property,TRUE,With JavaScript,FALSE,Using the transition property,FALSE,Applying static positioning,FALSE,css
219,"What is the difference between ""display: block"" and ""display: inline"" elements?","Block takes up the full width, inline does not",TRUE,No difference,FALSE,Inline can have width and height,FALSE,Block is not used in HTML5,FALSE,css
220,How can you hide an element from screen readers but still make it visible to sighted users in CSS?,Using visibility: hidden,FALSE,Using the aria-hidden attribute,TRUE,Applying display: none,FALSE,Setting opacity to 0,FALSE,css
221,"What is the CSS ""box-sizing"" property used for?",Controls how the overall size of boxes is calculated,TRUE,Changes the box model to flexbox,FALSE,Sets the maximum size of a box,FALSE,Defines new boxes inside an element,FALSE,css
222,"Explain the purpose of the CSS ""overflow"" property.",Specifies what should happen if content overflows an element's box,TRUE,Sets the document's layout direction,FALSE,Controls the zoom level of the page,FALSE,Manages the depth of the elements,FALSE,css
223,How do you create a fixed header that remains at the top of the page while scrolling?,Using position: fixed and top: 0,TRUE,Applying position: absolute,FALSE,Setting overflow: hidden,FALSE,Using a sticky positioning,FALSE,css
224,"What is the purpose of the CSS ""transform"" property?","Allows you to rotate, scale, and move elements",TRUE,Changes the color of elements,FALSE,Applies shadow effects,FALSE,Controls element visibility,FALSE,css
225,"Describe the CSS ""flexbox"" layout model.",A layout model for distributing space along a single column or row,TRUE,A method for creating animations,FALSE,Used for aligning text only,FALSE,A plugin for older browsers,FALSE,css
226,"What is the CSS ""grid"" layout system?",Using specific syntax like -webkit- or -moz-,TRUE,Applying global styles,FALSE,Through JavaScript detection,FALSE,Using inline styles only,FALSE,css
227,How do you apply CSS styles to specific browser vendors using prefixes?,Adds shadow effects around elements,TRUE,Creates an overflow effect,FALSE,Implements animations,FALSE,Designs a new box model,FALSE,css
228,"Explain the purpose of the CSS ""box-shadow"" property.",To apply different styles for different devices or screen sizes,TRUE,For creating animations,FALSE,To add browser-specific styles,FALSE,To define color schemes,FALSE,css
229,"What is the CSS ""media query"" used for?",Defines how properties change from one state to another over time,TRUE,Is used for creating web animations,FALSE,Allows for the transformation of elements,FALSE,Specifies the layout of web pages,FALSE,css
230,"Describe the CSS ""transition"" property.","em' is relative to the font size of the element, 'rem' is relative to the root element's font size",TRUE,No difference,FALSE,"em' affects padding and margin, 'rem' does not",FALSE,"rem' is only for font size, 'em' for all",FALSE,css
231,"What is the difference between ""em"" and ""rem"" units in CSS?",Using media queries,TRUE,Fixed widths and heights,FALSE,Using 'em' units for everything,FALSE,JavaScript event listeners,FALSE,css
232,How do you create a responsive design in CSS?,"Based on elements, classes, and id selectors",TRUE,Alphabetical order,FALSE,"First come, first served",FALSE,Length of the CSS file,FALSE,css
233,Explain the CSS specificity hierarchy.,To add decoration before or after an element's content,TRUE,To hide content,FALSE,To create new HTML elements,FALSE,To apply advanced animations,FALSE,css
234,"What is the purpose of the CSS ""pseudo-elements"" (::before and ::after)?",Using the 'title' attribute,FALSE,Using '::before' and '::after' with 'hover',TRUE,JavaScript event handlers,FALSE,HTML 'data-' attributes,FALSE,css
235,How do you create a CSS tooltip?,Forces an element to inherit styles from its parent,TRUE,Makes an element transparent,FALSE,Removes inheritance,FALSE,Sets default browser styles,FALSE,css
236,"Describe the CSS ""inherit"" keyword.",References the current color of an element for use in other properties,TRUE,Sets the color to a default value,FALSE,Animates color changes,FALSE,Creates a color palette,FALSE,css
237,"What is the purpose of the ""currentColor"" keyword in CSS?",Using 'vertical-align' property,TRUE,Flexbox,FALSE,Grid layout,FALSE,Position absolute,FALSE,css
238,How can you vertically align an element in CSS?,Allows clipping of an element to a basic shape,TRUE,Creates a path for text to flow,FALSE,Masks an element with another,FALSE,Defines a clipping region,TRUE,css
239,"Explain the CSS ""clip-path"" property.",Controls whether the user can select text/content,TRUE,Sets the font family,FALSE,Enables user interaction,FALSE,Applies user-specific styles,FALSE,css
240,"What is the purpose of the ""user-select"" property in CSS?",Using '@keyframes' and 'animation',TRUE,HTML <carousel> tag,FALSE,Using only 'position: fixed',FALSE,CSS 'display: none' for inactive slides,FALSE,css
241,How do you create a CSS slideshow or carousel?,Makes an element's position relative until a certain scroll point,TRUE,Sticks an element permanently to the top,FALSE,Completely removes an element from the document flow,FALSE,Is a synonym for 'position: fixed',FALSE,css
242,Describe the CSS 'position: sticky' property.,Allows an element to stick to the viewport during scroll,TRUE,Positions an element relative to its normal position,FALSE,Fixes an element's position relative to the viewport,FALSE,Inherits the position property from its parent element,FALSE,css
243,How can you create a responsive navigation menu in CSS?,Using media queries,TRUE,Using external plugins,FALSE,Using the <nav> element,FALSE,Using <iframe>,FALSE,css
244,Explain the CSS 'text-overflow' property.,Controls visible content overflow,TRUE,Sets all text to uppercase,FALSE,Specifies text indentation,FALSE,Applies shadow to text,FALSE,css
245,What is the CSS 'backface-visibility' property used for?,Controlling display of an element's backside,TRUE,Setting the background color,FALSE,Creating animations,FALSE,Defining font style,FALSE,css
246,How do you create a gradient background in CSS?,Using the linear-gradient() function,TRUE,Using the gradient tag,FALSE,Applying multiple background colors,FALSE,Using the background-clip property,FALSE,css
247,Describe the CSS 'object-fit' property.,Controls content size within a container,TRUE,Alters the object's structure,FALSE,Creates new CSS objects,FALSE,Manages object queues,FALSE,css
248,What is the purpose of the 'will-change' property in CSS?,Hints browser of element property changes,TRUE,Changes an element's will,FALSE,Directly changes an element's properties,FALSE,Inherits changes from parent,FALSE,css
249,How can you create a CSS dropdown menu?,Using the :hover selector,TRUE,Using the drop-down CSS property,FALSE,Employing JavaScript only,FALSE,Through CSS animations,FALSE,css
250,Explain the CSS 'rem' unit.,Relative to the font-size of the root element,TRUE,Represents margin in CSS,FALSE,Defines color red emphasis,FALSE,Is a CSS reset method,FALSE,css
251,What is the CSS 'line-height' property used for?,Controlling the spacing between lines,TRUE,Setting the height of lines in a border,FALSE,Defining the thickness of lines,FALSE,Creating underline text effects,FALSE,css
252,How do you create a CSS flip animation?,Using 3D transforms,TRUE,Utilizing the flip property,FALSE,Applying animation to the flip class,FALSE,Using JavaScript,FALSE,css
253,Describe the CSS 'pseudo-class' :nth-child().,Targets specific children of a parent,TRUE,Selects every element that is the nth-child,FALSE,Applies styles to parents of nth-child,FALSE,Is used to style the first child only,FALSE,css
254,What is the CSS 'aspect-ratio' property used for?,Setting the width-to-height ratio of an element,TRUE,Defining the color aspect of an element,FALSE,Creating responsive design,FALSE,Altering the font aspect,FALSE,css
255,How do you create a CSS sticky footer?,Using position: sticky,FALSE,Using position: fixed,FALSE,Using position: absolute and bottom: 0,FALSE,Using position: relative,TRUE,css
256,Explain the purpose of the CSS 'contain' property.,Improves page performance by isolating a subtree's layout,TRUE,Enforces strict containment rules,FALSE,Applies visual effects,FALSE,Contains elements within a boundary,FALSE,css
257,What is the CSS 'mix-blend-mode' property?,Defines how an element's content should blend with its background,TRUE,Mixes two different font modes,FALSE,Blends multiple CSS files,FALSE,Sets the blend mode for text only,FALSE,css
258,How can you create a CSS hamburger menu?,Using a div and CSS transformations for visual effect,TRUE,With pure HTML,FALSE,Utilizing a <menu> tag,FALSE,Using only JavaScript,FALSE,css
259,Describe the CSS 'counter' property.,Allows you to create your own numbering systems,TRUE,Tracks how many times an element is clicked,FALSE,Creates a countdown,FALSE,Implements a rating system,FALSE,css
260,What is the purpose of the 'currentColor' keyword in CSS?,Refers to the current color value of an element,TRUE,Sets the color to be as transparent as possible,FALSE,Applies a current trend in color schemes,FALSE,Automatically adjusts color for readability,FALSE,css
261,How do you create a CSS loading spinner?,Using CSS animations and transforms,TRUE,By setting the 'spinner' property,FALSE,With an HTML <spinner> element,FALSE,Using a JavaScript library,FALSE,css
262,Explain the CSS 'text-transform' property.,Controls the capitalization of text,TRUE,Alters the font size dynamically,FALSE,Transforms text into another language,FALSE,Applies 3D transformations to text,FALSE,css
263,What is the CSS 'filter' property used for?,Applying graphical effects like blur or color shift,TRUE,Filtering out HTML elements,FALSE,Creating responsive layouts,FALSE,Restricting user input,FALSE,css
264,Describe the CSS 'outline' property.,Draws a line around elements outside the borders,TRUE,Outlines the document structure,FALSE,Highlights text,FALSE,Creates a template outline,FALSE,css
265,How can you create a CSS accordion?,Using only CSS with the :checked pseudo-class,TRUE,Using the <accordion> HTML element,FALSE,Applying the accordion() CSS function,FALSE,Using the CSS accordion property,FALSE,css
266,What is the purpose of the CSS 'overscroll-behavior' property?,Controls the browser's behavior when the scroll boundary is reached,TRUE,Defines how an element should behave when it overflows,FALSE,Modifies the scroll speed,FALSE,Alters the scrolling direction,FALSE,css
267,How do you create a CSS parallax effect?,Using background-attachment: fixed,TRUE,Applying a parallax() function,FALSE,Setting the parallax property in CSS,FALSE,Using transform: parallax,FALSE,css
268,Explain the CSS 'place-items' property in the 'grid' layout.,Shorthand for align-items and justify-items in grid containers,TRUE,Defines item placement based on numerical indices,FALSE,Places grid items in optimal viewing positions,FALSE,Automatically animates items into their places,FALSE,css
269,What is the CSS 'mix-blend-mode' property used for?,Defines how an element's content should blend with its direct parent background,TRUE,Mixes HTML and CSS to create hybrid content,FALSE,Blends two specified colors into a new one,FALSE,Manages audio mixing within a webpage,FALSE,css
270,Describe the CSS 'backdrop-filter' property.,Applies graphical effects to the area behind an element,TRUE,Filters out background elements for better focus,FALSE,Creates a filtered backdrop for text readability,FALSE,Defines a filter to apply when the element is a backdrop,FALSE,css
271,How can you create a CSS responsive image gallery?,Using a combination of flexible grids and media queries,TRUE,Using the image-gallery() CSS function,FALSE,Implementing the <gallery> HTML tag,FALSE,Applying the responsive-gallery property in CSS,FALSE,css
272,Explain the CSS 'aspect-ratio' property.,"Sets a preferred aspect ratio for the box, which will be used in the calculation of auto sizes and some other layout functions",TRUE,Locks the element into a specific ratio when scaling,FALSE,Ensures that all child elements maintain the same aspect ratio,FALSE,Defines the maximum aspect ratio,FALSE,css
273,What is the purpose of the 'initial' keyword in CSS?,Applies a property's initial (default) value,TRUE,Initializes animations or transitions,FALSE,Sets the property to its highest possible value,FALSE,Indicates the start of a CSS block,FALSE,css
274,How do you create a CSS toggle switch?,Using the checkbox input type and label element,TRUE,Utilizing the toggle-switch() CSS function,FALSE,Implementing the <toggle> HTML element,FALSE,Activating the CSS toggle feature,FALSE,css
275,Describe the CSS 'mask' property.,Allows you to specify an image to use as a mask layer for another element,TRUE,Conceals or reveals parts of an image,FALSE,Creates a masking effect on the text,FALSE,Applies a thematic representation to UI components,FALSE,css
276,What is the CSS 'pointer-events' property used for?,Defines how the element responds to pointer events,TRUE,Changes the pointer type on hover,FALSE,Enables or disables the default pointer event,FALSE,Automatically adjusts pointer accuracy,FALSE,css
277,How can you create a CSS progress bar?,"Using width, background color, and transitions",TRUE,Applying progress-bar() CSS function,FALSE,Using the <progress> HTML tag alone,FALSE,Setting the CSS progress property,FALSE,css
278,Explain the CSS 'currentColor' keyword.,Allows you to use the current color value of an element,TRUE,Changes the current color based on user interaction,FALSE,Sets the most recently used color as the current one,FALSE,Automatically selects the optimal current color,FALSE,css
279,What is the CSS 'offset' property in animations?,Defines the position of an element along a motion path,TRUE,Offsets an element from its current position in a linear path,FALSE,Calculates the time offset within an animation sequence,FALSE,Adjusts the animation's frame rate offset,FALSE,css
280,How do you create a CSS timeline?,Utilizing a combination of ordered or unordered lists and CSS for styling,TRUE,Implementing the timeline() CSS function,FALSE,Activating the CSS timeline property,FALSE,Using the <timeline> HTML element,FALSE,css
281,Describe the CSS 'backface-visibility' property.,Determines whether the back face of an element is visible when turned towards the user,TRUE,Ensures the visibility of background images,FALSE,Controls the opacity of an element's back face,FALSE,Modifies the visibility of background colors,FALSE,css
282,What is the CSS 'resize' property used for?,Allows the user to resize elements,TRUE,Changes the size of background images,FALSE,Automatically resizes fonts,FALSE,Adjusts the window size,FALSE,css
283,How can you create a CSS card flip effect?,Using CSS transitions and transform properties,TRUE,Implementing a card-flip() function,FALSE,Applying a flipping effect to the card class,FALSE,Using JavaScript only,FALSE,css
284,Explain the CSS 'min-content' and 'max-content' values.,Specify the smallest and largest possible sizes for a container,TRUE,Define minimum and maximum font sizes,FALSE,Set the content's visibility limits,FALSE,Control the content overflow,FALSE,css
